Company Name,Ticker,Zacks Rank,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %
"Arcosa","ACA","3","7180.4","146.22","603184",".74",".65","1.11","100","21.25","12.2","7.82","146.22","89.15","168","Construction","Building Products - Miscellaneous","17.9"
"ACADIA Pharmaceuticals","ACAD","3","4548","26.395","1472467","-4.09","-10.98","4.74","60.28","-12.88","11.87","9.31","30.57","20.06","165","Medical","Medical - Biomedical and Genetics","33.42"
"Aurora Cannabis","ACB","1","261.31","4.03","878188","5.77","2.28","39.93","39.73","-15.81",".45","6.88","6.23","2.58","98","Medical","Medical - Products","-32.26"
"Acco Brands","ACCO","3","384.92","4.17","694345","-1.65","-.48","-2.34","84.18","-1.44","-8.49","5.36","4.42","2.84","164","Consumer Discretionary","Consumer Products - Discretionary","3.74"
"ProFrac Holding Corp.","ACDC","4","903.33","4.96","1221909","1.64","2.9","-14.48","36.35","12.41","-11.37","-19.76","8.06","3.19","87","Oils-Energy","Oil and Gas - Field Services","-22.83"
"Arch Capital Group","ACGL","3","32682.93","95.78","3643336","-2.22","-5.3","-2.33","50.83","-11.97","14.27","21.65","106.48","84.72","92","Finance","Insurance - Property and Casualty","24.4"
"Acadia Healthcare","ACHC","3","2641.25","28.37","1356840","1.32","-1.22","2.46","69.75","76.26","5.04","4.14","35.61","11.68","106","Medical","Medical - Hospital","-33.44"
"Albertsons Companies","ACI","3","5882.15","12.12","7469684","-4.72","-3.89","-10.02","12.51","-37.77","3.46","1.32","19.74","11.03","178","Consumer Staples","Consumer Products - Staples",".08"
"ACI Worldwide","ACIW","1","5006.37","49.59","753293","-5.81","-5.38",".16","51.22","-8.56","10.38","17.86","60.18","38.47","156","Computer and Technology","Computer - Software","12.4"
"Axcelis Technologies","ACLS","3","3494.24","113.15","323464","7.44","-8.37","-35.76","33.22","24.17","-17.57","16.12","191.6","74.12","24","Computer and Technology","Electronics - Manufacturing Machinery","10.71"
"AECOM","ACM","5","8098.87","62.93","2036423","-2.59","-3.17","-9.8","2.58","-41.8",".21","6.7","134.35","61.04","156","Construction","Engineering - R and D Services","1.87"
"ACM Research","ACMR","1","4705.12","72.77","862471","8.84","-5.92","-38.79","44.33","62.62","15.24","10.69","126.89","29.67","1","Computer and Technology","Semiconductor Equipment - Material Services","14.48"
"Accenture","ACN","3","124286.28","186.11","4628768","-4.56","-.23","49.2","37.58","-38.85","7.36","11.72","288.54","124.44","102","Computer and Technology","Computers - IT Services","10.66"
"Ares Commercial Real Estate","ACRE","4","243.01","4.38","312264",".92","-7.4","-3.52","8.9","-19.22","-21.27","24.1","5.71","4.25","221","Finance","REIT and Equity Trust","-8.04"
"Aclaris Therapeutics","ACRS","3","778.82","5.57","2536559","-1.24","-11.73","10.96","79.58","63.14","-58.19","-921.5","6.53","1.81","165","Medical","Medical - Drugs","-921.5"
"Enact Holdings","ACT","3","6707.82","48.05","395009","-4.03","-3.36","5.49","86.66","6.87","2.83","54.85","50.07","34.93","89","Finance","Insurance - Multi line","54.51"
"ACV Auctions","ACVA","3","1779.59","10.48","12742813",".67","40.29","45.56","100","15.2","19.22","3.47","10.48","4.15","50","Business Services","Auction and Valuation Services","-7.88"
"Adamas Trust, Inc.","ADAM","1","801.73","8.92","975693","-1.11","-9.53","-5.51","64.11","7.73","50.01","73.83","10.23","6.58","221","Finance","REIT and Equity Trust","29.82"
"Adobe","ADBE","3","99184.2","249.52","5355137","-6.05","-9.68","20.87","32.24","-37.15","10.53","36.99","367.46","193.41","156","Computer and Technology","Computer - Software","28.05"
"Agree Realty","ADC","3","8410.53","67.62","1348320","-4.46","-9.33","-12.1","NA","-17.24","16.42","30.3","81.92","67.62","184","Finance","REIT and Equity Trust - Retail","28.84"
"ADC Therapeutics","ADCT","3","142.99","1.12","1673188",".9","16.05","8.74","4.08","-72.03","14.85","-121.77","4.88",".96","165","Medical","Medical - Biomedical and Genetics","-121.77"
"ADEIA INC","ADEA","3","2815.45","25.53","843909","3.53","-2.85","-22.64","63","30.48","17.91","44.9","33.63","11.74","156","Business Services","Technology Services","26.05"
"Analog Devices","ADI","2","185588.58","383","3316796","6.09","3.19","-2.24","71.64","24.51","16.89","39.81","445.48","225.2","29","Computer and Technology","Semiconductor - Analog and Mixed","29.79"
"Archer Daniels Midland","ADM","1","40185.79","83.38","3820314","-3.54","6.68","8.47","85.32","27.86","-6.15","2.57","88.09","56","168","Consumer Staples","Agriculture - Operations","2.16"
"ADMA Biologics","ADMA","3","2128.97","9.505","2485397","3.99","-.47","13.56","14.91","-54.06","19.63","33.47","20.38","7.6","165","Medical","Medical - Biomedical and Genetics","32.98"
"Adient","ADNT","3","1346.11","17.46","898212","-6.93","-8.01","-3.96","NA","-19.7","-1.04",".98","27.09","17.46","102","Auto-Tires-Trucks","Automotive - Original Equipment",".32"
"Automatic Data Processing","ADP","3","107237.11","269.94","2097538","-2.42","-4.62","19.99","77.38","-7.48","6.74","20.44","293.66","188.79","85","Computer and Technology","Internet - Software","20.11"
"Adaptive Biotechnologies","ADPT","3","4446.34","27.86","1924516","12.43","9.04","30.19","95.37","51.24","54.77","-24.02","28.61","12.41","165","Medical","Medical - Biomedical and Genetics","-20.73"
"Autodesk","ADSK","3","45739.65","218.85","2383120","-4.4","-13.98","12.09","22.7","-34.82","17.53","32.25","324.86","187.72","85","Computer and Technology","Internet - Software","21.08"
"ADT","ADT","2","4836.3","6.62","7191194","-6.5","-10.78","1.85","12.6","-27.68","4.72","14.42","8.84","6.3","106","Industrial Products","Security and Safety Services","11.85"
"ADTRAN Holdings, Inc.","ADTN","4","587.48","7.21","1617314","2.41","-6.49","-47.56","1.38","-26.85","17.46","2.48","19.4","7.04","31","Computer and Technology","Communication - Components","-2.29"
"Aebi Schmidt Holding AG","AEBI","3","935.9","12.06","346470",".25","-1.23","-4.96","44.27","-15.95","40.58","1.09","15.61","9.24","44","Auto-Tires-Trucks","Automotive - Domestic","1.09"
"Ameren","AEE","3","28190.95","101.83","1394007","-2.06","-4.97","-11.14","21.74","-10.1","15.43","16.88","118.32","97.25","153","Utilities","Utility - Electric Power","17.86"
"Aehr Test Systems","AEHR","3","3165.69","96.93","2673608","16.26",".52","2.28","61.43","323.26","-15.21","1.82","145.61","19.4","22","Computer and Technology","Electronics - Measuring Instruments","-14.25"
"Advanced Energy Industries","AEIS","1","10522.85","262.74","523685","3.3","-4.34","-24.53","43.25","10.64","21.37","16.54","389.05","166.46","11","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","10.77"
"Agnico Eagle Mines","AEM","3","100103.2","197.48","2274571","-.04","-9.37","28.43","52.78","2.7","43.71","39.12","252.19","136.34","202","Basic Materials","Mining - Gold","40.44"
"Alliance Entertainment Holding Corporation","AENT","3","258.44","5.07","464669","-12.28","-6.97","-15.08","11.81","-44.68","8.04","2.04","8.43","4.62","181","Consumer Discretionary","Media Conglomerates","1.14"
"American Eagle Outfitters","AEO","3","2590.68","15.46","7593232",".19","-8.36","-9.43","8.29","-48.31","3.16","6.97","28.19","14.31","101","Retail-Wholesale","Retail - Apparel and Shoes","5.91"
"American Electric Power","AEP","3","65344.02","120.03","3558916","-1.8","-1.6","-13","42.14","-8.23","10.93","14.19","138.69","106.44","153","Utilities","Utility - Electric Power","13.78"
"Aercap","AER","1","23863.35","143","1091862","2.57","-3.09","-3.08","65.44","-12.3","6.5","35.97","155.24","119.82","50","Transportation","Transportation - Equipment and Leasing","37.85"
"Grupo Aeromexico SAB DE CV - Sponsored ADR","AERO","4","2175.96","15.95","365336","3.04","10.69","-11.39","34.03","-35.97","-4.61","2.85","22.91","12.36","102","Aerospace","Aerospace - Defense","3.78"
"AES","AES","3","10580.29","14.83","7001753",".2",".54","1.37","43.42","-8.83","-.37","14.52","17.28","12.95","153","Utilities","Utility - Electric Power","14.3"
"Atlas Energy Solutions Inc.","AESI","4","1658.8","13.27","2669741",".99","11.51","-20.68","44.38","24.19","3.73","-10.56","19.75","8.1","184","Oils-Energy","Oil and Gas - Integrated - United States","-11.08"
"Aeva Technologies","AEVA","3","963.26","15.28","1437188","4.16","-7.17","-40.48","30.3","1.44","99.44","-477.41","29.29","9.19","102","Auto-Tires-Trucks","Automotive - Original Equipment","-150.12"
"American Financial Group","AFG","3","11711.83","141.24","368207","-1.71","-2.22",".97","69.55","-8.9","-1.8","12.06","148.71","124.18","92","Finance","Insurance - Property and Casualty","11.51"
"Aflac","AFL","3","57744.72","115.18","2269588","-1.56","-2.56","-4.08","39.75","-7.91","-9.31","21.74","129.55","105.7","210","Finance","Insurance - Accident and Health","26.91"
"Affirm","AFRM","3","23973.78","71.05","5849421","-3.18","-7.58","-13.13","57.44","-15.84","31.34","45.29","92.18","42.53","85","Computer and Technology","Internet - Software","45.29"
"First Majestic Silver","AG","3","9518.09","19.31","8802354","2.71","-7.3","14.87","42.46","2.19","124.25","26.2","32.01","9.94","218","Basic Materials","Mining - Silver","21.18"
"AGCO","AGCO","4","8396.8","119.9","1237342","-1.96","8.87",".52","51.02","1.33","-13.55","4.18","140.49","98.45","106","Industrial Products","Manufacturing - Farm Equipment","5.15"
"Agenus","AGEN","4","376.2","8.33","899003","16.83","8.6","164.44","99.46","133.88","10.37","89.19","8.36","2.77","165","Medical","Medical - Biomedical and Genetics","69.33"
"Alamos Gold","AGI","4","14734.45","35.21","3287392","-1.26","-8.12","14.54","26.84","-19.54","34.29","38.71","55.33","27.83","202","Basic Materials","Mining - Gold","52.64"
"Agios Pharmaceuticals","AGIO","3","2026.88","33.95","830539","2.2","4.01","-10.75","50.15","9.96","48.03","-418.24","45.49","22.34","165","Medical","Medical - Biomedical and Genetics","-418.24"
"AGNC Investment","AGNC","3","11819.25","9.97","31006388","-1.19","-9.2","-9.36","11.29","-18.01","19.46","186.81","12.17","9.69","221","Finance","REIT and Equity Trust","57.94"
"AGNT, Inc.","AGNT","5","632.65","3.85","1582951","-6.33","-15.39","-30.76","1.91","-62.5","4.48","-.28","11.8","3.69","206","Finance","Real Estate - Operations","-.35"
"Assured Guaranty","AGO","3","3125.6","71.07","475030","-2.54","-4.21","-11.37","3.3","-30.28","27.29","49.57","92.18","70.35","89","Finance","Insurance - Multi line","37.34"
"Adecoagro","AGRO","4","1588.31","11.14","763937","-4.95","-1.07","15.32","49.38","23.85","-6","-.4","15.25","7.13","168","Consumer Staples","Agriculture - Operations","3.03"
"Argan","AGX","1","5333.02","380.12","435074","-3.17","-18.95","-51.98","22.86","6.96","8.06","15.09","798.55","256.15","168","Construction","Building Products - Miscellaneous","15.09"
"AdaptHealth","AHCO","NA","783.98","5.75","2829765","-2.21","2.13","-43.68","6.5","-49.1","-.49","2.16","13.38","5.22","98","Medical","Medical - Products","-7.07"
"American Healthcare REIT, Inc.","AHR","2","11401.33","52.3","3072119","-2.06","-6.92",".58","69.1","-2.02","9.15","4.85","57.72","40.18","156","Finance","REIT and Equity Trust - Other","4.84"
"AH Realty Trust Inc","AHRT","4","471.43","6.32","656523","1.28","-6.09","-11.98","48.55","-15.83","-59.74","-1.97","7.56","5.15","156","Finance","REIT and Equity Trust - Other","-18.23"
"C3.ai","AI","3","1742.85","10.84","5426295","-2.95","7.22","22.21","25.88","-29.1","-35.67","-73.42","19.66","7.76","102","Computer and Technology","Computers - IT Services","-192.1"
"AIB Data Centers Inc.","AIB","4","108.65","1.43","1014149","7.52","10","-31.91","2.01","-87.55","2906.01","-26.53","23.36",".98","102","Computer and Technology","Computers - IT Services","-26.53"
"American International Group","AIG","3","38976.46","74.54","4059965","-2.29","-3.67","-.77","18.03","-23.18","-1.75","16.07","86.59","71.89","89","Finance","Insurance - Multi line","11.13"
"PowerFleet","AIOT","5","382.54","2.85","1312446","-6.56","-5.32","-24.2","2.1","-52.77","22.42","1.92","5.65","2.79","85","Computer and Technology","Internet - Software","-4.16"
"Arteris","AIP","4","1187.52","24.16","710402","17.23","6.86","-48.99","37.21","37.42","22.27","-13.32","48.59","9.68","85","Computer and Technology","Internet - Software","-46.7"
"AAR","AIR","2","4637.9","116.26","357045","-3.18","-13.65","-18.04","52.24","23.8","18.97","5.89","153.71","75.3","43","Aerospace","Aerospace - Defense Equipment","5.67"
"AIRO Group Holdings, Inc.","AIRO","4","226.57","7.18","403703","-.97","-11.58","4.66","9.3","-22.62","4.57","-23.86","20.15","5.85","102","Aerospace","Aerospace - Defense","-23.86"
"AirSculpt Technologies","AIRS","NA","175.19","2.43","870600","2.1","-7.95","-46.24","8.44","8.2","-15.82","-3.07","11.65","1.58","156","Business Services","Technology Services","-7.79"
"Apartment Investment and Management","AIV","NA","313.71","2.16","1534213","-8.86","-16.92","-28","NA","-67.94","-33.64","10.23","7.93","2.16","106","Finance","REIT and Equity Trust - Residential","316.79"
"Assurant","AIZ","1","13681.43","277.38","308039","-2.08","-3.62","3.51","74.23","1.53","7.89","8.9","301.57","207.7","89","Finance","Insurance - Multi line","7.9"
"Arthur J. Gallagher & Co.","AJG","3","60643.14","236.61","1302672","-6.59","-13.01","4.18","37.65","-19.39","22.29","20.04","310.48","192","168","Finance","Insurance - Brokerage","9.96"
"Akamai Technologies","AKAM","3","16873.77","117.41","3081698","11.22","11.12","3.17","50.96","18.64","5.44","23.46","161.14","71.97","165","Computer and Technology","Internet - Services","9.51"
"Acadia Realty Trust","AKR","3","2657.39","19.35","1352661","-2.37","-9.33","-9.75","14.68","-16.95","14.2","12.14","22.72","18.77","184","Finance","REIT and Equity Trust - Retail","12.14"
"Astera Labs, Inc.","ALAB","1","59113.31","340.74","3600490","32.56","22.78","-25.27","62.83","80.57","115.13","37.35","483.02","100.27","85","Computer and Technology","Internet - Software","30.74"
"Albemarle","ALB","4","13325.13","112.92","2329507","-1.83","-20.2","-12.95","24.21","-29.62","-4.37","14.73","215.62","80.12","153","Basic Materials","Chemical - Diversified ","3.09"
"Alcon","ALC","3","32085.76","64.87","1437476","-4.24","-11.98","-4.05","11.33","-27.43","4.94","14.88","87.18","62.02","95","Medical","Medical - Instruments","5.92"
"Alector","ALEC","3","215.5","1.93","1344949","-12.67","-16.09","-7.21","36.24","9.07","-79.07","-850.13","3.32","1.14","165","Medical","Medical - Biomedical and Genetics","-850.13"
"Allegro MicroSystems","ALGM","4","6617.27","35.5","2034827","4.87","-.36","-46.51","27.13","18.64","22.77","13.38","69.62","22.8","47","Computer and Technology","Electronics - Semiconductors","1.5"
"Align Technology","ALGN","3","10519.27","146.88","839435","-4","-7.99","-15.31","30.29","-17.07",".9","19.3","197.51","124.88","106","Medical","Medical - Dental Supplies","9.99"
"Allegiant","ALGT","3","2200.42","80.49","477673","2.54","-1.4","-29.52","36.74","-16.78","3.74","4.62","119.16","58.03","233","Transportation","Transportation - Airline",".9"
"Alliance Laundry Holdings Inc.","ALH","2","4305.77","21.66","1019140","1.83","-9.14","-17.61","29.05","-6.16","13.31","13.7","28.01","19.06","190","Retail-Wholesale","Retail - Home Furnishings","10.08"
"Alignment Healthcare","ALHC","3","1727.94","8.33","8986991","-35.63","-37.98","-64.19","NA","-62.82","46.06",".89","24.56","8.33","78","Medical","Medical Services",".89"
"Alight","ALIT","3","320.85","11.91","388940","-3.72","-19.91","8.35","3.59","-73.08","-3","9.82","68.4","9.8","85","Computer and Technology","Internet - Software","-90.9"
"Allianz","ALIZY","3","193899.52","50.97","361384","-.64","-1.62","9.03","86.05","-2.31","8.68","10.65","52.76","39.93","89","Finance","Insurance - Multi line","6.31"
"Alaska Air Group","ALK","3","4668.88","41.9","2181727","2.92",".82","-19.31","29.63","-26.56","21.34","-.82","60.21","34.19","233","Transportation","Transportation - Airline","-1.19"
"Alkermes","ALKS","3","7411.78","44.18","1756834","-3.6","-9.6","-15.9","60.7","39.21","-5.25","5.67","55.22","27.13","165","Medical","Medical - Biomedical and Genetics","3.96"
"Alkami Technology","ALKT","3","1979.5","18.51","1405531","-6.89","-8.86","8.88","32.83","-29.26","32.89","8.23","26.53","14.59","85","Computer and Technology","Internet - Software","-9.21"
"Allstate","ALL","3","61409.08","242.86","1540050","-6.04","-6.66",".61","62.11","2.86","5.58","17.36","275.11","190","92","Finance","Insurance - Property and Casualty","18.97"
"Allegion","ALLE","3","12871.17","151.36","1381054","-2.59","-6.93","8.39","47.51","-16.19","7.82","17","179.77","125.65","106","Industrial Products","Security and Safety Services","15.36"
"Ally Financial","ALLY","4","12134.53","39.89","3330886","-4.89","-6.03","-15.58","34.81","-22.35","-3.26","17.86","47.25","35.96","168","Finance","Financial - Consumer Loans","16.75"
"Almonty Industries Inc.","ALM","3","4223.68","14.66","5940824","-.27","-19.8","-9.17","52.55","46.7","10.56","38.43","23.42","4.96","184","Basic Materials","Mining - Miscellaneous","125.89"
"Aeluma, Inc.","ALMU","NA","262.21","13.61","626243","8.53","-.29","-38.78","13.87","-30.12","-4.37","-104.01","31.49","10.73","47","Computer and Technology","Electronics - Semiconductors","-205.31"
"Alnylam Pharmaceuticals","ALNY","3","32692.24","244.32","1550962","-2.27","3.52","-16.76","13.59","-45.83","65.19","22.7","491.22","205.48","165","Medical","Medical - Biomedical and Genetics","15.26"
"Alarm.com","ALRM","1","2628.33","53.14","416414","-4.06","-7.71","14.77","71.17","-8.17","7.59","14.8","57.6","42.13","106","Industrial Products","Security and Safety Services","11.11"
"Allison Transmission Holdings","ALSN","3","9815.23","118.86","762427","-3.75","-9.53","3.03","69.79","7.04","-6.67","16.46","136","79.27","102","Auto-Tires-Trucks","Automotive - Original Equipment","12.02"
"Alto Ingredients","ALTO","4","303.29","3.91","1303934","-1.26","-6.68","-26.92","59","19.69","-4.9","4.8","5.99",".92","164","Consumer Discretionary","Consumer Products - Discretionary","5.51"
"Autoliv","ALV","4","8623.68","117.75","599423","-.63","-4.41","1.06","55.53","-12.54","4.09","6.81","131.69","100.34","102","Auto-Tires-Trucks","Automotive - Original Equipment","5.79"
"Alvotech","ALVO","4","1774.62","5.88","1140895","16.44","12","58.06","48.16","1.05","19.7","-35.01","8.98","3","165","Medical","Medical - Biomedical and Genetics","-36.31"
"Antero Midstream","AM","3","9987.14","21.04","2236101","-2.68","-4.97","-7.72","60.31","4.27","7.43","32.41","23.6","17.15","184","Oils-Energy","Oil and Gas - Integrated - United States","32.41"
"Applied Materials","AMAT","2","368419.66","464.24","6221976","9.44","-4.12","-33.17","51.47","59.26","4.39","28.25","723","189.76","47","Computer and Technology","Electronics - Semiconductors","30.05"
"Ambarella","AMBA","3","3039.11","68.85","1784360","7.61","-1.64","2.75","43.11","-14.32","37.15","7.34","95.51","48.65","47","Computer and Technology","Electronics - Semiconductors","-13.48"
"Ardagh Metal Packaging","AMBP","2","2707.61","4.53","1692656","-5.23","-14.85","-1.31","59.31","-2.59","12","2.85","5.36","3.32","64","Industrial Products","Containers - Metal and Glass",".68"
"Ambiq Micro, Inc.","AMBQ","2","1719.28","71.09","559044","19.26","25.31","-16.41","71.37","119.91","-4.67","-17.02","90.48","22.76","47","Computer and Technology","Electronics - Semiconductors","-37.77"
"Amber International Holding Limited - Sponsored ADR","AMBR","NA","155.55","1.65","1324148","46.02","52.78","7.14","22.58","-15.92","101.45","2.54","4.29",".88","156","Business Services","Technology Services","-.27"
"AMC Entertainment","AMC","2","2579.63","2.89","25102284","15.6","8.24","42.37","88.19","63.33","4.57","-5.64","3.15",".95","181","Consumer Discretionary","Leisure and Recreation Services","-10.59"
"Amcor","AMCR","3","19487.87","42.15","3213782","-.24","-12.02","-1.84","39.31","-10.89","56.61","7.93","50.58","36.69","206","Industrial Products","Containers - Paper and Packaging","4.71"
"AMC Global Media Inc.","AMCX","3","493.76","11.97","587149","-2.45","-3.62","19.16","86.1","10.85","-4.52","1.69","12.85","6.52","181","Consumer Discretionary","Media Conglomerates","-.88"
"Advanced Micro Devices","AMD","3","1004821","615.52","19738268","24.75","34.76","14.09","100","153.39","34.34","23.02","615.52","157.39","49","Computer and Technology","Computer - Integrated Systems","15.58"
"AMETEK","AME","2","55290.64","241.23","1309719","3.24","-.45","1.48","78.18","3.59","6.63","23.32","258.52","179.28","11","Computer and Technology","Electronics - Testing Equipment","20.04"
"Amgen","AMGN","3","212554.89","393.16","2810941","3.06","-11.42","9.04","70.53","5.9","9.95","31.9","444.12","271.18","165","Medical","Medical - Biomedical and Genetics","22.95"
"American Homes 4 Rent","AMH","3","11265.01","31.24","2514212","-1.23","-10.26","-8.09","51.95","-14.2","7.03","25.53","34.81","27.38","106","Finance","REIT and Equity Trust - Residential","25.53"
"Amkor Technology","AMKR","1","12966.73","52.19","4152230","10.76","8.96","-36.62","36.65","16.54","6.18","7.45","93.55","28.26","47","Computer and Technology","Electronics - Semiconductors","7.45"
"AMN Healthcare Services","AMN","3","1326.11","34.24","568914",".15","-.78","5.74","89.02","91.54","-8.49","3.97","36.6","15.1","106","Business Services","Business - Services","3.06"
"Ameriprise Financial","AMP","3","48159.66","535.72","505959","-4.09","-4.53","19.9","75.08","-3.68","7.04","21.38","570.68","430.4","168","Finance","Financial - Investment Management","20.24"
"AmpliTech Group","AMPG","NA","101.85","3.39","1005929",".3","-1.74","-51.78","20.53","-.04","165","-33.37","9.7","1.76","31","Computer and Technology","Communication - Components","-33.37"
"Amphastar Pharmaceuticals","AMPH","3","1041.33","24.48","457664","2.38","13.76","18.2","60.73","-19.41","-1.65","19.05","29.4","16.87","50","Medical","Medical - Generic Drugs","10.76"
"Amplitude","AMPL","3","1359.94","13.43","1544318","-1.61","2.13","77.65","89.99","2.25","14.68","1.25","14.3","5.61","156","Business Services","Technology Services","-26.59"
"Amprius Technologies, Inc.","AMPX","3","1361.04","9.61","4144371","4.8","-2.54","-28.92","11.8","7.38","202.11","-12.78","22.91","7.83","156","Business Services","Technology Services","-35.16"
"Amplify Energy","AMPY","NA","178.68","4.31","530814","-10.4","-9.83","6.95","21.62","-16.85","-10.63","-6.05","6.63","3.67","95","Oils-Energy","Oil and Gas - Exploration and Production - United States","10.62"
"Alpha Metallurgical Resources","AMR","5","2225.05","175.49","322628","-11.3","-16.41","6.84","34.07","-22.6","-27.99","-2.23","249.65","137.16","184","Basic Materials","Mining - Miscellaneous","-2.23"
"Ameresco","AMRC","3","1277.83","24.08","657891","6.17","14.83","-9.37","22.53","-27.52","9.16","1.63","43.23","18.51","92","Oils-Energy","Alternative Energy - Other","1.4"
"Amneal Pharmaceuticals","AMRX","3","6438.17","20.16","2203643","17.07","13.39","16.6","100","41.06","8.05","9.98","20.16","9.6","165","Medical","Medical - Drugs","5.05"
"Amrize Ltd","AMRZ","5","21343.44","38.59","4151074","-2.13","-14.59","-27.39","3.71","-37.09",".95","10.92","65.86","37.54","168","Construction","Building Products - Miscellaneous","9.89"
"American Superconductor","AMSC","4","1464.89","30.24","629378","10.85","4.56","-24.08","10.53","-7.37","34.26","48.04","66.68","25.95","39","Computer and Technology","Electronics - Miscellaneous Components","42.56"
"AMERISAFE","AMSF","4","455.25","24.56","525331","-2.15","-7.02","-27.27","NA","-43.63","2.66","11.73","44.71","24.56","210","Finance","Insurance - Accident and Health","14"
"American Tower","AMT","3","81356.63","174.6","2212011","-1.32","-2.12","3.52","38.5","-12.33","5.11","31.08","194.55","162.11","156","Finance","REIT and Equity Trust - Other","31.08"
